SiteID,EmsSite,SiteName,X,Y
AR1,E225768,ARROW LAKE AT ALBERT POINT (AR1),434241.56934390165,5604756.058592166
AR2,E225769,ARROW LAKE AT ANN POINT (AR2),433711.3406156519,5590750.323915543
AR3,E225770,ARROW LAKE AT TURNER CREEK (AR3),439763.8940216288,5567436.131002914
AR4,E225771,ARROW LAKE AT SLEWISKIN CREEK (AR4),NA,NA
AR5,E225779,ARROW LAKE D/S MOSQUITO CREEK (AR5),NA,NA
AR6,E225781,ARROW LAKE AT JOHNSON CREEK (AR6),362416.36474428145,5532498.267797157
AR7,E225782,ARROW LAKE AT BOWMAN CREEK (AR7),418016.55357429094,5487215.1463137455
AR8,E225783,ARROW LAKE AT CAYUSE CREEK (AR8),426715.5451506437,5472080.34439353
HL1,E305210,ARROW LAKE; BEATON ARM (HL1),NA,NA
KL1,E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),505479.0685586533,5555967.427367036
KL2,E216950,KOOTENAY LAKE AT KEMBELL CR. (KLF 2),507764.6662581565,5536479.345576503
KL3,E216951,KOOTENAY LAKE AT BJERKENESS CR. (KLF 3),508579.7098025386,5524428.307166093
KL4,E216952,KOOTENAY LAKE AT HENDRYX CR. (KLF 4),508201.85658855276,5512998.276756839
KL5,E216953,KOOTENAY LAKE AT CRAWFORD BAY (KLF 5),513049.3914642335,5494485.374182713
KL6,E216954,KOOTENAY LAKE AT RHINOCEROS POINT (KLF 6),513886.0157568851,5480901.696207711
KL7,E218832,KOOTENAY LAKE AT REDMAN PT; KLF7,519177.37220759864,5463341.076390793
KL8,E252949,KOOTENAY LAKE WEST ARM (KLF8),495101.6691090332,5495150.098395534
